gene	exprA	exprB
alr7543	106	92
alr7544	63.75	57
alr7545	161	86
alr7546	150.5	150.5
alr7549	267	440.5
alr7550	90.5	145.25
alr7551	194.5	316
alr7552	252.75	332
alr7553	81.75	54.5
alr7555	400.5	292.75
alr7556	269.25	205
alr7557	122.25	108
alr7558	151.25	116
alr7559	129.25	141.75
alr7560	169.5	212.5
alr7561	245.5	187
alr7562	421	835
alr7565	64.75	86.75
alr7566	211.75	199.75
alr7567	156	108.75
alr7568	180	219
alr7569	93.25	91.5
alr7570	103.75	95
alr7572	107	100
alr7573	125.5	98.5
alr7574	27.25	36.25
alr7575	153	141.5
alr7576	251	199.5
alr7579	223.75	331
alr7580	103.25	129.75
alr7581	444.75	440
alr7582	310.75	1011.5
alr7586	512	804
alr7587	304	1583
alr7604	509	2712.5
alr7612	398.5	855.75
alr7613	512.5	909.5
alr7620	1544.5	3737.75
alr7622	750.25	1193.25
alr7628	2981.5	3255
alr7634	3511.75	1080.75
alr7635	215.75	132.5
alr7636	309.5	521
alr7637	312.25	445.25
alr7640	187.5	169.75
alr7643	167.25	199.5
alr7646	129	90.5
alr7647	148.25	252.5
alr7649	41.5	44.25
alr7650	75.5	105.25
alr7652	159.5	184.75
alr7656	99.5	144.5
alr7661	388.5	1152.5
alr7667	58	82
alr7670	167.75	189.5
alr7684	199.5	244.5
alr7685	90	96
alr8001	356	689.25
Ampicillin	112	118.25
asl0256	123	125
asl0449	10804	7826.5
asl0514	707	602
asl0560	512	318
asl0561	11	8.5
asl0595	382	478.5
asl0673	296.5	545.5
asl0678	48.5	80
asl0873	5375.5	1457.5
asl1421	1839	4098.5
asl1930	315	325.5
asl2354	1228	1551.5
asl2469	3313	6336.5
asl2923	998.25	1549.75
asl3212	678.5	773
asl3409	1484.75	2640.25
asl3726	9141.5	8989.5
asl4263	7274	10313.5
asl4754	6734.5	12920.5
asl7018	1258.5	2160.5
asl7028	919	1210.5
asl7034	373	159.5
asl7035	375	450
asl7051	2771	6624
asl7056	699.5	1342
asl7114	264	933.5
asl7118	661	7574
asl7119	750.5	6875
asl7156	1155.5	763.5
asl7159	7650.75	11563.5
asl7164	279.5	452.5
asl7176	179	495.5
asl7181	961.5	1312.5
asl7217	3628	6612
asl7237	720.25	3206.5
asl7246	8601.5	4523.5
asl7248	146	191
asl7251	184.5	270
asl7258	906	755.5
asl7266	5391	7304.5
